Region,Country,Population,Facility Name,Facility Type,Number of Beds,Number of Doctors,Number of Nurses,Annual Patient Visits,Emergency Response Time (minutes), Funding Received (USD) ,Electricity Availability,Internet Availability,Patient Satisfaction Rate (%),Average Distance to Facility (km),Urban_Rural
Central Malawi,Malawi,5904,Central Facility 1243,Hospital,54,20,22,11025,13,"141,988",Yes,Yes,89.3,3.5,Urban
Eastern Nigeria,Nigeria,3035,Eastern Facility 1244,Health Center,13,19,7,14498,18,"96,012",Yes,No,90.1,13,Rural
Eastern Ethiopia,Ethiopia,9268,Eastern Facility 1245,Health Center,41,18,29,17816,52,"11,406",Yes,Yes,86.6,2.4,Urban
Southern Zambia,Zambia,2993,Southern Facility 1246,Hospital,30,8,32,3844,7,"48,275",No,Yes,75.4,15.4,Rural
Central Senegal,Senegal,1539,Central Facility 1247,Hospital,44,19,50,6041,48,"48,447",Yes,No,80.7,17.2,Rural
Western Kenya,Kenya,3416,Western Facility 1248,Health Center,77,13,37,8251,51,"125,457",No,Yes,70.6,5.3,Rural
Eastern Rwanda,Rwanda,6753,Eastern Facility 1249,Hospital,97,13,15,14826,30,"154,319",No,No,85.7,7.8,Urban
Northern Ghana,Ghana,7712,Northern Facility 1250,Health Center,59,4,49,2087,9,"117,694",Yes,Yes,71.4,4.8,Urban
Western Kenya,Kenya,898,Western Facility 1251,Health Center,94,10,29,4749,12,"170,879",No,No,75,10,Rural
Central Malawi,Malawi,8264,Central Facility 1252,Hospital,86,6,10,4446,47,"181,395",No,Yes,87.2,16.5,Urban
Eastern Ethiopia,Ethiopia,9218,Eastern Facility 1253,Health Center,21,4,22,5123,25,"116,838",Yes,No,79.6,15.1,Urban
Northern Ghana,Ghana,1989,Northern Facility 1254,Health Center,56,16,18,19539,14,"109,994",Yes,Yes,68.4,17.8,Rural
Southern Zambia,Zambia,7784,Southern Facility 1255,Clinic,42,16,14,19424,56,"199,658",No,No,86.4,14,Urban
Southern Zambia,Zambia,3192,Southern Facility 1256,Health Center,5,4,18,17557,23,"128,913",Yes,No,82.4,9.4,Rural
Eastern Nigeria,Nigeria,9769,Eastern Facility 1257,Clinic,55,15,7,10817,25,"130,829",No,No,72.3,18.3,Urban
Western Uganda,Uganda,9145,Western Facility 1258,Clinic,68,9,33,14351,17,"110,357",No,Yes,69.2,1.9,Urban
Central Senegal,Senegal,1665,Central Facility 1259,Hospital,33,19,22,15022,12,"53,643",No,Yes,68.4,12.7,Rural
Eastern Ethiopia,Ethiopia,2054,Eastern Facility 1260,Clinic,30,7,11,9456,7,"182,939",Yes,No,74.4,4.6,Rural
Eastern Ethiopia,Ethiopia,1211,Eastern Facility 1261,Clinic,74,12,38,17096,28,"107,292",No,Yes,88.7,8.5,Rural
Western Uganda,Uganda,1450,Western Facility 1262,Health Center,78,3,5,5302,11,"30,229",Yes,Yes,73.4,4.6,Rural
Eastern Nigeria,Nigeria,7737,Eastern Facility 1263,Clinic,74,12,5,2563,47,"100,261",Yes,Yes,85,13.7,Urban
Central Malawi,Malawi,3637,Central Facility 1264,Clinic,29,4,47,2755,46,"40,853",Yes,Yes,75.4,15,Rural
Dar es Salaam,Tanzania,7240,Dar Facility 1265,Health Center,15,15,37,15626,40,"69,229",Yes,Yes,76,4.7,Urban
Central Malawi,Malawi,6013,Central Facility 1266,Health Center,91,1,20,16683,58,"55,649",No,No,73.7,18.6,Urban
Western Kenya,Kenya,8916,Western Facility 1267,Health Center,92,12,10,11962,9,"63,347",No,Yes,74.8,3.1,Urban
Eastern Rwanda,Rwanda,9437,Eastern Facility 1268,Clinic,87,20,20,6969,44,"195,070",No,Yes,89.2,6.9,Urban
Western Kenya,Kenya,4772,Western Facility 1269,Clinic,48,18,50,15495,37,"116,469",No,Yes,79.1,15.1,Rural
Western Kenya,Kenya,3287,Western Facility 1270,Hospital,78,15,9,7218,14,"146,090",No,Yes,94.1,18.8,Rural
Central Malawi,Malawi,9583,Central Facility 1271,Hospital,98,8,41,8385,22,"74,666",No,Yes,80.2,15.5,Urban
Central Senegal,Senegal,9904,Central Facility 1272,Clinic,43,12,47,7978,21,"188,103",Yes,No,82.7,14.4,Urban
Central Senegal,Senegal,1123,Central Facility 1273,Clinic,83,7,36,4334,19,"115,555",No,No,94.1,18.6,Rural
Western Uganda,Uganda,6510,Western Facility 1274,Clinic,31,13,14,6330,52,"165,880",Yes,Yes,83.2,5.1,Urban
Northern Ghana,Ghana,9737,Northern Facility 1275,Hospital,44,12,16,16775,56,"99,693",No,No,69,11.1,Urban
Eastern Rwanda,Rwanda,4739,Eastern Facility 1276,Hospital,24,5,23,7850,6,"175,612",Yes,No,89.1,6.5,Rural
Southern Zambia,Zambia,6564,Southern Facility 1277,Hospital,86,2,27,17879,10,"71,742",No,Yes,64.5,7.4,Urban
Eastern Rwanda,Rwanda,5614,Eastern Facility 1278,Hospital,53,9,21,15363,56,"25,615",No,No,79,9.5,Urban
Central Malawi,Malawi,6186,Central Facility 1279,Health Center,33,1,23,16203,29,"89,768",No,No,61.6,3.3,Urban
Central Malawi,Malawi,3523,Central Facility 1280,Clinic,57,18,34,10105,53,"55,462",No,No,90.7,2,Rural
Eastern Nigeria,Nigeria,2284,Eastern Facility 1281,Health Center,75,9,10,10186,19,"107,777",Yes,Yes,78.6,19.4,Rural
Eastern Ethiopia,Ethiopia,2900,Eastern Facility 1282,Clinic,100,2,13,3800,47,"49,831",Yes,No,87,8.2,Rural
Dar es Salaam,Tanzania,544,Dar Facility 1283,Hospital,42,10,20,9088,28,"105,565",Yes,No,80.9,2.3,Rural
Western Uganda,Uganda,3319,Western Facility 1284,Health Center,57,3,47,13481,29,"31,737",Yes,No,69.9,13.5,Rural
Central Senegal,Senegal,2944,Central Facility 1285,Clinic,69,13,46,4747,32,"55,568",Yes,Yes,85.1,8,Rural
Western Kenya,Kenya,8622,Western Facility 1286,Health Center,47,12,38,19373,13,"53,313",Yes,No,62.9,19.2,Urban
Eastern Rwanda,Rwanda,4555,Eastern Facility 1287,Clinic,9,12,40,18281,23,"79,353",Yes,No,75.4,16.9,Rural
Northern Ghana,Ghana,4231,Northern Facility 1288,Health Center,88,20,6,17543,36,"188,625",No,Yes,74.8,15.2,Rural
Dar es Salaam,Tanzania,9020,Dar Facility 1289,Health Center,55,5,48,12282,32,"78,565",Yes,No,84.5,18.8,Urban
Central Malawi,Malawi,8169,Central Facility 1290,Clinic,90,2,47,6372,47,"153,610",No,Yes,70.1,11.4,Urban
Dar es Salaam,Tanzania,4348,Dar Facility 1291,Hospital,55,19,15,17548,22,"118,098",Yes,Yes,88.2,12.6,Rural
Southern Zambia,Zambia,9114,Southern Facility 1292,Hospital,18,12,14,3823,32,"29,320",No,No,90.5,5.2,Urban
Central Senegal,Senegal,1325,Central Facility 1293,Hospital,90,19,17,12843,19,"78,064",Yes,No,94.2,11.5,Rural
Western Kenya,Kenya,5397,Western Facility 1294,Health Center,90,6,19,10018,58,"11,332",Yes,Yes,80.3,4.1,Urban
Southern Zambia,Zambia,1406,Southern Facility 1295,Clinic,17,16,26,3891,16,"33,297",Yes,Yes,81.9,5.7,Rural
Southern Zambia,Zambia,5045,Southern Facility 1296,Hospital,22,14,16,18595,50,"72,109",Yes,Yes,63.6,1.4,Urban
Central Malawi,Malawi,796,Central Facility 1297,Hospital,50,8,18,15393,48,"147,869",No,No,80.8,4.3,Rural
Western Uganda,Uganda,6158,Western Facility 1298,Hospital,26,12,32,9937,52,"37,093",Yes,No,82.3,14.7,Urban
Eastern Ethiopia,Ethiopia,3150,Eastern Facility 1299,Clinic,51,19,37,6652,7,"44,489",No,No,89.5,1.7,Rural
Southern Zambia,Zambia,7294,Southern Facility 1300,Clinic,15,19,10,18594,30,"148,609",No,Yes,92.3,14.1,Urban
Central Malawi,Malawi,8214,Central Facility 1301,Clinic,96,7,25,16324,51,"70,616",Yes,No,66.9,15.9,Urban
Southern Zambia,Zambia,4269,Southern Facility 1302,Clinic,83,7,29,2618,11,"127,710",No,No,87.8,6.3,Rural
Eastern Nigeria,Nigeria,4011,Eastern Facility 1303,Hospital,38,16,40,19546,49,"186,049",Yes,No,91.8,8.4,Rural
Eastern Rwanda,Rwanda,6793,Eastern Facility 1304,Health Center,46,11,19,16840,23,"176,413",No,No,75.1,15.5,Urban
Dar es Salaam,Tanzania,6137,Dar Facility 1305,Clinic,84,14,24,9043,49,"156,518",Yes,Yes,91,9.8,Urban
Dar es Salaam,Tanzania,4489,Dar Facility 1306,Hospital,18,13,50,4767,57,"134,700",No,No,72.3,13.3,Rural
Dar es Salaam,Tanzania,6641,Dar Facility 1307,Clinic,46,20,34,6108,46,"171,137",Yes,Yes,76.9,11.6,Urban
Central Senegal,Senegal,2426,Central Facility 1308,Hospital,40,1,13,8934,18,"136,618",No,No,73.4,11.7,Rural
Eastern Ethiopia,Ethiopia,5344,Eastern Facility 1309,Clinic,15,12,15,2378,48,"176,508",No,Yes,69.8,8,Urban
Northern Ghana,Ghana,9769,Northern Facility 1310,Clinic,28,8,32,16318,55,"98,278",Yes,No,92.8,17.4,Urban
Northern Ghana,Ghana,3414,Northern Facility 1311,Clinic,40,14,30,1941,52,"175,625",Yes,No,85.7,11.3,Rural
Eastern Ethiopia,Ethiopia,6212,Eastern Facility 1312,Hospital,13,16,26,1041,36,"147,696",No,Yes,77.7,9.3,Urban
Southern Zambia,Zambia,734,Southern Facility 1313,Hospital,37,9,18,2121,23,"46,489",No,Yes,87.7,4.7,Rural
Central Senegal,Senegal,5734,Central Facility 1314,Health Center,6,8,34,9517,39,"89,291",No,Yes,91.9,15.7,Urban
Central Malawi,Malawi,4098,Central Facility 1315,Hospital,53,15,18,7943,11,"122,641",Yes,Yes,89.8,16.4,Rural
Central Senegal,Senegal,5725,Central Facility 1316,Hospital,83,9,48,16424,38,"162,434",Yes,Yes,90.5,12.3,Urban
Northern Ghana,Ghana,2283,Northern Facility 1317,Clinic,69,1,33,11530,38,"152,992",No,No,64.7,4.4,Rural
Eastern Rwanda,Rwanda,824,Eastern Facility 1318,Health Center,77,14,43,10275,55,"23,300",No,Yes,69.4,17.8,Rural
Central Malawi,Malawi,8168,Central Facility 1319,Health Center,19,9,33,15985,27,"61,007",No,Yes,86,11.1,Urban
Eastern Rwanda,Rwanda,1463,Eastern Facility 1320,Hospital,71,4,7,7817,24,"178,605",No,Yes,66.8,15.1,Rural
Dar es Salaam,Tanzania,3426,Dar Facility 1321,Health Center,56,6,36,18248,42,"81,326",Yes,Yes,88.7,11.7,Rural
Western Kenya,Kenya,3151,Western Facility 1322,Hospital,27,19,47,17477,45,"134,630",Yes,No,68.2,1.9,Rural
Dar es Salaam,Tanzania,3479,Dar Facility 1323,Hospital,18,15,13,18072,60,"64,565",Yes,Yes,73.7,7,Rural
Southern Zambia,Zambia,4358,Southern Facility 1324,Health Center,33,6,13,17763,20,"18,283",No,Yes,91.2,19.3,Rural
Central Malawi,Malawi,9255,Central Facility 1325,Hospital,8,12,22,13728,47,"183,035",No,No,82,18.9,Urban
Central Malawi,Malawi,7453,Central Facility 1326,Health Center,58,17,6,14113,53,"88,526",Yes,No,75.6,6.3,Urban
Southern Zambia,Zambia,9814,Southern Facility 1327,Health Center,95,17,42,8215,54,"191,556",No,Yes,62.9,7.7,Urban
Dar es Salaam,Tanzania,4284,Dar Facility 1328,Clinic,80,1,50,5459,46,"20,854",Yes,No,66.3,15,Rural
Dar es Salaam,Tanzania,2762,Dar Facility 1329,Health Center,99,11,44,14887,5,"154,459",Yes,No,76.3,10.3,Rural
Eastern Nigeria,Nigeria,5152,Eastern Facility 1330,Clinic,94,13,22,19999,44,"182,015",Yes,No,63.7,4,Urban
Western Uganda,Uganda,1211,Western Facility 1331,Hospital,39,3,18,4675,46,"107,545",No,Yes,61,1.7,Rural
Central Malawi,Malawi,3635,Central Facility 1332,Hospital,90,5,36,11667,32,"90,719",Yes,No,84.9,12.4,Rural
Central Senegal,Senegal,3636,Central Facility 1333,Clinic,88,6,41,2615,24,"152,454",No,Yes,79.8,18.3,Rural
Central Malawi,Malawi,1373,Central Facility 1334,Hospital,8,19,27,4767,48,"179,459",No,No,79.9,1.6,Rural
Western Kenya,Kenya,7151,Western Facility 1335,Hospital,55,11,37,17334,38,"37,230",No,No,79.9,6.7,Urban
Dar es Salaam,Tanzania,2053,Dar Facility 1336,Clinic,7,12,25,18565,30,"164,816",No,No,62,7.4,Rural
Central Senegal,Senegal,8433,Central Facility 1337,Health Center,77,16,49,18174,14,"118,441",Yes,No,71.8,2.6,Urban
Central Senegal,Senegal,6565,Central Facility 1338,Hospital,32,18,7,3720,60,"123,967",Yes,Yes,78.9,13.9,Urban
Western Kenya,Kenya,1700,Western Facility 1339,Health Center,82,8,29,13200,44,"191,224",Yes,No,82.5,6.3,Rural
Eastern Ethiopia,Ethiopia,9206,Eastern Facility 1340,Hospital,98,1,7,3596,33,"30,319",Yes,Yes,62.7,14.6,Urban
Central Malawi,Malawi,3103,Central Facility 1341,Hospital,42,1,22,8236,58,"82,903",Yes,Yes,71,7.7,Rural
Eastern Ethiopia,Ethiopia,8762,Eastern Facility 1342,Hospital,44,14,12,10974,45,"33,241",No,Yes,90.3,5.3,Urban
Southern Zambia,Zambia,8511,Southern Facility 1343,Clinic,7,16,44,7499,22,"177,586",Yes,Yes,92.2,19.4,Urban
Eastern Nigeria,Nigeria,6092,Eastern Facility 1344,Hospital,66,19,19,10070,40,"45,069",Yes,No,83.1,2.2,Urban
Northern Ghana,Ghana,6603,Northern Facility 1345,Clinic,58,4,36,6432,12,"181,948",No,No,84.2,7.6,Urban
Western Uganda,Uganda,3004,Western Facility 1346,Health Center,56,10,27,18874,29,"107,549",No,Yes,61,17.5,Rural
Southern Zambia,Zambia,4804,Southern Facility 1347,Clinic,58,8,36,3802,22,"78,083",Yes,Yes,90.5,4,Rural
Dar es Salaam,Tanzania,1257,Dar Facility 1348,Hospital,62,15,30,17129,42,"14,350",No,No,90,12.3,Rural
Eastern Rwanda,Rwanda,7363,Eastern Facility 1349,Hospital,48,6,45,9084,18,"76,628",Yes,Yes,91.1,12,Urban
Eastern Nigeria,Nigeria,7217,Eastern Facility 1350,Clinic,29,7,47,5656,41,"92,710",Yes,Yes,60.7,15.9,Urban
Dar es Salaam,Tanzania,6759,Dar Facility 1351,Clinic,98,4,16,10077,6,"138,482",Yes,No,86.2,5.1,Urban
Western Uganda,Uganda,7681,Western Facility 1352,Hospital,51,4,8,5567,16,"111,037",Yes,No,80.7,10.7,Urban
Eastern Rwanda,Rwanda,7560,Eastern Facility 1353,Clinic,93,17,31,6987,53,"150,599",Yes,Yes,62.3,18,Urban
Western Kenya,Kenya,6333,Western Facility 1354,Hospital,60,14,23,6367,35,"12,004",No,Yes,64.1,18.2,Urban
Northern Ghana,Ghana,6791,Northern Facility 1355,Hospital,87,16,13,15635,24,"83,222",Yes,No,92.8,6.9,Urban
Northern Ghana,Ghana,1311,Northern Facility 1356,Clinic,37,9,35,15216,46,"58,946",Yes,No,73.4,3.6,Rural
Central Senegal,Senegal,4974,Central Facility 1357,Hospital,89,3,20,8555,48,"114,814",Yes,Yes,70.5,5.3,Rural
Eastern Ethiopia,Ethiopia,1379,Eastern Facility 1358,Health Center,77,17,30,2195,46,"55,567",No,No,67.3,8.3,Rural
Central Malawi,Malawi,3097,Central Facility 1359,Clinic,67,6,20,4154,49,"192,297",No,Yes,80,6,Rural
Eastern Nigeria,Nigeria,6235,Eastern Facility 1360,Hospital,23,2,29,7901,43,"29,050",No,No,76.6,4.4,Urban
Southern Zambia,Zambia,5043,Southern Facility 1361,Health Center,7,3,15,11333,30,"47,632",Yes,No,70.8,6,Urban
Dar es Salaam,Tanzania,8832,Dar Facility 1362,Health Center,95,11,26,18803,26,"99,810",No,Yes,74.5,19.9,Urban
Western Kenya,Kenya,1264,Western Facility 1363,Hospital,68,12,39,16052,19,"97,581",No,No,64,4.8,Rural
Eastern Rwanda,Rwanda,914,Eastern Facility 1364,Health Center,72,2,17,17057,57,"106,630",No,Yes,77.7,11.3,Rural
Western Kenya,Kenya,1591,Western Facility 1365,Clinic,19,2,39,3476,52,"70,715",Yes,No,70.3,5.1,Rural
Eastern Nigeria,Nigeria,5897,Eastern Facility 1366,Clinic,60,13,24,11934,49,"137,470",Yes,No,66.7,17.4,Urban
Eastern Ethiopia,Ethiopia,7797,Eastern Facility 1367,Health Center,6,18,43,9953,19,"137,253",Yes,No,92.3,4.8,Urban
Dar es Salaam,Tanzania,5485,Dar Facility 1368,Clinic,5,11,47,9813,5,"148,478",Yes,No,63.2,12.1,Urban
Southern Zambia,Zambia,8318,Southern Facility 1369,Health Center,55,5,13,10981,28,"193,761",Yes,Yes,83,3.7,Urban
Western Kenya,Kenya,5187,Western Facility 1370,Clinic,96,13,38,11081,56,"155,102",Yes,No,62.4,17.1,Urban
Dar es Salaam,Tanzania,2851,Dar Facility 1371,Health Center,29,15,36,2875,60,"126,317",Yes,No,61.2,2,Rural
Central Senegal,Senegal,5795,Central Facility 1372,Health Center,27,2,24,5349,47,"58,556",No,No,77.1,16.7,Urban
Eastern Nigeria,Nigeria,2688,Eastern Facility 1373,Hospital,87,7,27,2940,34,"143,921",No,No,73.7,4.8,Rural
Central Malawi,Malawi,2113,Central Facility 1374,Health Center,30,15,19,17519,41,"197,300",Yes,No,64.7,4.7,Rural
Western Uganda,Uganda,7456,Western Facility 1375,Clinic,34,3,48,6160,33,"100,947",No,No,91.3,19.9,Urban
Southern Zambia,Zambia,9593,Southern Facility 1376,Hospital,100,8,30,18512,54,"174,814",Yes,No,78,11,Urban
Western Uganda,Uganda,6806,Western Facility 1377,Hospital,82,19,10,18285,31,"182,196",Yes,Yes,86.2,14.7,Urban
Eastern Nigeria,Nigeria,736,Eastern Facility 1378,Health Center,5,5,35,8960,22,"141,060",Yes,No,80.7,2.6,Rural
Western Uganda,Uganda,7742,Western Facility 1379,Clinic,79,20,19,15604,25,"145,523",No,No,85.5,9.3,Urban
Dar es Salaam,Tanzania,2397,Dar Facility 1380,Clinic,9,20,41,6966,6,"82,996",No,No,90.5,3.5,Rural
Dar es Salaam,Tanzania,3360,Dar Facility 1381,Hospital,46,4,24,1729,11,"14,658",Yes,No,79,19.4,Rural
Eastern Ethiopia,Ethiopia,4192,Eastern Facility 1382,Clinic,58,10,13,5362,33,"164,766",Yes,Yes,89.5,5.1,Rural
Northern Ghana,Ghana,8676,Northern Facility 1383,Hospital,73,14,17,11861,13,"15,134",Yes,No,86.7,6.6,Urban
Dar es Salaam,Tanzania,4368,Dar Facility 1384,Health Center,68,2,18,11104,9,"133,859",No,No,91.2,14.4,Rural
Central Malawi,Malawi,5270,Central Facility 1385,Health Center,79,4,28,8114,44,"109,163",No,Yes,60.8,2.6,Urban
Dar es Salaam,Tanzania,2665,Dar Facility 1386,Hospital,41,1,41,5513,34,"46,888",Yes,Yes,83.9,6.6,Rural
Central Malawi,Malawi,3153,Central Facility 1387,Clinic,91,10,23,7983,22,"131,479",Yes,Yes,79.9,14.9,Rural
Eastern Ethiopia,Ethiopia,2036,Eastern Facility 1388,Clinic,23,17,13,9011,6,"188,755",No,No,84.3,9.8,Rural
Southern Zambia,Zambia,6503,Southern Facility 1389,Hospital,96,13,28,4642,35,"100,597",No,Yes,90.4,9.6,Urban
Southern Zambia,Zambia,4030,Southern Facility 1390,Hospital,48,8,26,5871,54,"166,863",No,No,60.7,2.9,Rural
Eastern Nigeria,Nigeria,3686,Eastern Facility 1391,Hospital,7,12,49,18758,60,"34,588",Yes,Yes,88.9,18.9,Rural
Dar es Salaam,Tanzania,6506,Dar Facility 1392,Hospital,62,19,11,2539,8,"138,444",Yes,No,60.1,12.6,Urban
Western Kenya,Kenya,4908,Western Facility 1393,Hospital,34,18,38,7796,56,"181,856",No,No,94.7,10,Rural
Southern Zambia,Zambia,5723,Southern Facility 1394,Clinic,25,4,21,12698,49,"149,282",Yes,No,72.8,12.8,Urban
Eastern Ethiopia,Ethiopia,9695,Eastern Facility 1395,Hospital,16,5,25,6078,49,"47,975",No,Yes,71.2,4.2,Urban
Central Senegal,Senegal,5946,Central Facility 1396,Clinic,97,16,44,16486,57,"73,116",No,Yes,90,8.5,Urban
Eastern Nigeria,Nigeria,4087,Eastern Facility 1397,Clinic,7,15,30,13979,55,"32,923",Yes,No,61.6,7.1,Rural
Western Kenya,Kenya,8164,Western Facility 1398,Hospital,81,2,40,18847,38,"25,492",No,Yes,83.1,9.5,Urban
Dar es Salaam,Tanzania,4022,Dar Facility 1399,Clinic,92,6,47,2304,37,"149,053",No,Yes,86.6,14.8,Rural
Central Malawi,Malawi,1526,Central Facility 1400,Clinic,61,5,7,1830,9,"90,618",No,Yes,84.1,14.9,Rural
Southern Zambia,Zambia,4365,Southern Facility 1401,Clinic,29,6,27,18680,15,"84,647",No,Yes,76.2,8.5,Rural
Northern Ghana,Ghana,4819,Northern Facility 1402,Hospital,15,13,38,14988,33,"72,161",Yes,No,82.1,5.9,Rural
Eastern Rwanda,Rwanda,4161,Eastern Facility 1403,Hospital,55,7,31,17774,29,"162,770",No,Yes,83.8,11.9,Rural
Central Senegal,Senegal,9454,Central Facility 1404,Clinic,15,9,17,13411,43,"178,913",No,No,60.9,18.6,Urban
Western Uganda,Uganda,4281,Western Facility 1405,Health Center,58,1,6,17364,26,"148,737",No,No,82.9,9.6,Rural
Central Malawi,Malawi,5146,Central Facility 1406,Hospital,85,16,18,13234,60,"55,124",Yes,Yes,86.3,19.1,Urban
Western Uganda,Uganda,7715,Western Facility 1407,Clinic,43,18,38,11640,27,"124,774",No,Yes,93.7,2.9,Urban
Eastern Ethiopia,Ethiopia,5477,Eastern Facility 1408,Clinic,45,6,40,15864,35,"159,187",No,No,65.8,8.8,Urban
Eastern Nigeria,Nigeria,7110,Eastern Facility 1409,Health Center,99,17,23,3352,26,"180,615",No,No,62.5,5.7,Urban
Central Senegal,Senegal,5357,Central Facility 1410,Clinic,88,5,15,1800,50,"67,411",Yes,No,83.8,5.7,Urban
Northern Ghana,Ghana,9075,Northern Facility 1411,Clinic,71,14,11,5163,45,"190,785",No,No,79,14.1,Urban
Eastern Nigeria,Nigeria,7054,Eastern Facility 1412,Clinic,35,4,33,3546,25,"116,286",No,No,87,11.7,Urban
Southern Zambia,Zambia,6964,Southern Facility 1413,Clinic,65,14,16,2907,7,"67,642",No,No,84.3,17.4,Urban
Western Kenya,Kenya,3357,Western Facility 1414,Hospital,82,4,24,19038,33,"78,312",Yes,No,70.8,10.9,Rural
Southern Zambia,Zambia,3217,Southern Facility 1415,Clinic,69,7,27,4291,37,"134,061",No,No,85.4,17.3,Rural
Southern Zambia,Zambia,7696,Southern Facility 1416,Hospital,67,8,47,3669,26,"114,314",Yes,No,73.3,3.1,Urban
Central Malawi,Malawi,4818,Central Facility 1417,Health Center,98,4,30,12038,7,"77,887",Yes,No,86.7,7.5,Rural
Dar es Salaam,Tanzania,3101,Dar Facility 1418,Health Center,68,4,33,17695,59,"198,766",No,No,89.1,17.7,Rural
Southern Zambia,Zambia,1315,Southern Facility 1419,Hospital,74,9,5,5609,22,"19,738",No,Yes,84.4,19.7,Rural
Central Malawi,Malawi,7776,Central Facility 1420,Health Center,23,19,39,12861,34,"153,404",Yes,Yes,93.2,2.4,Urban
Central Malawi,Malawi,4654,Central Facility 1421,Clinic,33,12,20,12156,32,"125,061",Yes,Yes,83.4,18.9,Rural
Northern Ghana,Ghana,2996,Northern Facility 1422,Hospital,35,14,39,5919,22,"194,679",No,Yes,90,18.8,Rural
Eastern Ethiopia,Ethiopia,2269,Eastern Facility 1423,Hospital,53,4,9,15371,12,"95,423",No,Yes,65.9,5.5,Rural
Western Uganda,Uganda,2992,Western Facility 1424,Clinic,10,20,33,9003,16,"30,873",Yes,No,72.5,13.2,Rural
Western Uganda,Uganda,4614,Western Facility 1425,Health Center,25,19,22,5064,40,"77,248",No,Yes,82.6,13.1,Rural
Southern Zambia,Zambia,6430,Southern Facility 1426,Health Center,49,19,27,16161,58,"164,552",No,No,76,19.9,Urban
Eastern Rwanda,Rwanda,6315,Eastern Facility 1427,Health Center,75,15,12,3948,16,"190,455",No,No,78.6,14.7,Urban
Central Senegal,Senegal,5090,Central Facility 1428,Health Center,24,3,33,14182,33,"132,435",No,No,78.8,13,Urban
Southern Zambia,Zambia,9048,Southern Facility 1429,Health Center,64,3,14,10987,15,"149,604",Yes,Yes,63.1,14.5,Urban
Western Kenya,Kenya,3919,Western Facility 1430,Clinic,91,13,48,15228,22,"199,006",No,No,87.6,7.7,Rural
Dar es Salaam,Tanzania,7700,Dar Facility 1431,Health Center,32,19,44,1945,8,"152,416",Yes,No,81.7,2.9,Urban
Central Malawi,Malawi,4620,Central Facility 1432,Clinic,71,8,35,6343,42,"105,382",Yes,No,81.1,16.7,Rural
Western Kenya,Kenya,3708,Western Facility 1433,Clinic,29,10,31,9109,43,"75,755",Yes,Yes,71.6,1.5,Rural
Eastern Ethiopia,Ethiopia,4282,Eastern Facility 1434,Hospital,15,4,9,11542,56,"76,038",Yes,No,64.7,12.7,Rural
Northern Ghana,Ghana,5933,Northern Facility 1435,Clinic,17,7,21,17339,11,"23,787",No,No,74.6,11.9,Urban
Eastern Rwanda,Rwanda,8119,Eastern Facility 1436,Health Center,60,14,36,9713,59,"24,624",Yes,Yes,82.6,15.5,Urban
Central Malawi,Malawi,9436,Central Facility 1437,Hospital,70,15,30,1689,51,"165,842",No,No,87.7,15.3,Urban
Eastern Rwanda,Rwanda,2684,Eastern Facility 1438,Health Center,82,7,29,5895,26,"99,264",Yes,Yes,82.2,18.9,Rural
Southern Zambia,Zambia,4847,Southern Facility 1439,Clinic,42,14,10,2249,39,"48,830",Yes,Yes,94.2,18.9,Rural
Dar es Salaam,Tanzania,3745,Dar Facility 1440,Clinic,7,18,10,16950,20,"171,437",Yes,Yes,86,3,Rural
Eastern Ethiopia,Ethiopia,1560,Eastern Facility 1441,Health Center,56,10,13,14385,6,"50,048",Yes,Yes,70.4,12.9,Rural
Northern Ghana,Ghana,1573,Northern Facility 1442,Clinic,38,3,30,5334,45,"24,032",Yes,No,73.5,1.6,Rural
Northern Ghana,Ghana,5412,Northern Facility 1443,Health Center,64,5,47,7903,40,"110,321",No,No,86,12.3,Urban
